Drug_Origin,drug_std,total_prescription,total_revenue
Biotech,ABATACEPT,83520,493403084.8
Biotech,ADALIMUMAB,545396,4884226408
Biotech,ADALIMUMAB ATTO,13445,29697457.79
Biotech,ADALIMUMAB BWWD,41,43717.38
Biotech,AFLIBERCEPT,27629,71104321.53
Biotech,ALIROCUMAB,448170,362488837.4
Biotech,AMIVANTAMAB VMJW,24,369126.6
Biotech,ANIFROLUMAB FNIA,884,4537617.17
Biotech,ATEZOLIZUMAB,1821,20068662.81
Biotech,AVELUMAB,104,1143938.43
Biotech,BELATACEPT,1913,4154477.47
Biotech,BELIMUMAB,30590,145158069.4
Biotech,BENRALIZUMAB,19666,115300833.7
Biotech,BEVACIZUMAB,1495,8529013.18
Biotech,BEVACIZUMAB AWWB,1463,9119483.39
Biotech,BEVACIZUMAB BVZR,1099,5290436.87
Biotech,BEVACIZUMAB MALY,63,188401.65
Biotech,BIMEKIZUMAB BKZX,14,220169.24
Biotech,BLINATUMOMAB,32,661644.09
Biotech,BRENTUXIMAB VEDOTIN,15,607542.92
Biotech,BRODALUMAB,1321,6883098.64
Biotech,BROLUCIZUMAB DBLL,165,422136.94
Biotech,BUROSUMAB TWZA,1188,29077902.53
Biotech,CAPLACIZUMAB YHDP,23,5395026.96
Biotech,CEMIPLIMAB RWLC,326,3265300.06
Biotech,CERTOLIZUMAB PEGOL,26490,177939618.8
Biotech,CETUXIMAB,399,2980076.34
Biotech,CRIZANLIZUMAB TMCA,299,3524004.43
Biotech,DARATUMUMAB,1108,11349142.52
Biotech,DENOSUMAB,256048,444869751.3
Biotech,DOSTARLIMAB GXLY,32,375292.61
Biotech,DUPILUMAB,350986,1368118589
Biotech,DURVALUMAB,1327,14780917.81
Biotech,ECULIZUMAB,4126,175341836.5
Biotech,ELOTUZUMAB,136,1319289.34
Biotech,ENFORTUMAB VEDOTIN EJFV,29,1184871.16
Biotech,ERENUMAB AOOE,267981,253409340.8
Biotech,ETANERCEPT,332317,2552950971
Biotech,EVOLOCUMAB,1187888,1031069707
Biotech,FARICIMAB SVOA,4772,13438137.38
Biotech,FREMANEZUMAB VFRM,64585,53814932.59
Biotech,GALCANEZUMAB GNLM,232105,199744335
Biotech,GOLIMUMAB,19841,137309706.9
