drug_name,Drug_Origin,prescription,revenue
ADALIMUMAB,Biotech,545396, $4 884 226 408.42 
ETANERCEPT,Biotech,332317, $2 552 950 971.30 
USTEKINUMAB,Biotech,73053, $1 951 381 600.90 
CYCLOSPORINE,Natural-derived,1642296, $1 550 673 258.57 
DUPILUMAB,Biotech,350986, $1 368 118 588.69 
VALBENAZINE TOSYLATE,Natural-derived,170619, $1 278 101 740.61 
EVOLOCUMAB,Biotech,1187888, $1 031 069 707.36 
LEVOTHYROXINE SODIUM,Natural-derived,45138029, $969 026 257.17 
DEUTETRABENAZINE,Natural-derived,135031, $909 547 831.74 
ARIPIPRAZOLE,Synthetic,3380680, $844 314 017.58 
SECUKINUMAB,Biotech,102203, $785 311 477.17 
RISANKIZUMAB RZAA,Biotech,28296, $585 928 863.63 
METOPROLOL SUCCINATE,Synthetic,28792402, $574 171 075.22 
ABATACEPT,Biotech,83520, $493 403 084.77 
LOSARTAN POTASSIUM,Synthetic,32407536, $478 156 556.33 
BREXPIPRAZOLE,Synthetic,305200, $458 040 775.63 
DENOSUMAB,Biotech,256048, $444 869 751.30 
OMEPRAZOLE,Synthetic,27230410, $409 186 968.73 
AMLODIPINE BESYLATE,Natural-derived,46601898, $402 755 302.21 
PANTOPRAZOLE SODIUM,Synthetic,22538863, $369 661 686.15 
